C7057|Disease, Disorder or Finding
C94471|Tympanites
C118732|Heteronymous Visual Field Defect
C118733|Homonymous Visual Field Defect
C66916|Killip Class
C106496|Acute Extensive Anterior Wall Myocardial Infarction by ECG Finding
C35303|Anterolateral Myocardial Infarction by ECG Finding
C101596|Acute Myocardial Infarction by ECG Finding
C118734|Incongruent Visual Field Defect
C116140|Acute Myocardial Ischemia by ECG Assessment
C50552|Excessive Tearing
C127566|Largest Cross-sectional Diameter at End Ventricular Diastole
C71087|T Waves Biphasic by ECG Finding
C43280|Peau Chagrine Lesion
C71088|T Waves Flat by ECG Finding
C90483|Ventricular Escape Beat by ECG Finding
C111102|Ventricular Fibrillation by ECG Finding
C35936|Pedunculated Lesion
C61053|Tobacco Toxicity
C62406|Ionizing Radiation Toxicity
C42607|Therapy-Related Toxicity
C27188|Radiation-Induced Mosaicism
C18754|Radiation Induced DNA Damage
C117372|Placental Lesion
C35134|Xeroderma
C123110|Pauci-Immune Glomerulonephritis associated with Eosinophilic Granulomatosis with Polyangiitis
C123111|Pauci-Immune Glomerulonephritis associated with Granulomatosis with Polyangiitis
C123112|Pauci-Immune Glomerulonephritis associated with Microscopic Polyangiitis
C123085|Nephrotic Syndrome - INF2 Associated
C123087|Nephrotic Syndrome - ITGA3 Associated
C120902|Obstructive Nephropathy
C123202|Oligomeganephronia
C123088|Nephrotic Syndrome - ITGB4 Associated
C114477|Proximal Tubulopathy
C59275|CTCAE Grade 2 Liver Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59511|CTCAE Grade 3 Liver Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59747|CTCAE Grade 4 Liver Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59278|CTCAE Grade 2 Lung Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59514|CTCAE Grade 3 Lung Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59750|CTCAE Grade 4 Lung Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59281|CTCAE Grade 2 Lymphatic Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59517|CTCAE Grade 3 Lymphatic Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59753|CTCAE Grade 4 Lymphatic Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C55918|CTCAE Grade 2 Photophobia
C55917|CTCAE Grade 1 Photophobia
C55919|CTCAE Grade 3 Photophobia
C59976|CTCAE Grade 5 Larynx Infection with Unknown Absolute Neutrophil Count
C59979|CTCAE Grade 5 Lens Infection with Unknown Absolute Neutrophil Count
C55886|Retinal Detachment Adverse Event
C59982|CTCAE Grade 5 Lip or Perioral Infection with Unknown Absolute Neutrophil Count
C59276|CTCAE Grade 2 Liver Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59512|CTCAE Grade 3 Liver Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59748|CTCAE Grade 4 Liver Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55883|CTCAE Grade 1 Proptosis and Enophthalmos
C55884|CTCAE Grade 2 Proptosis and Enophthalmos
C55885|CTCAE Grade 3 Proptosis and Enophthalmos
C59279|CTCAE Grade 2 Lung Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59515|CTCAE Grade 3 Lung Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59751|CTCAE Grade 4 Lung Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55241|CTCAE Grade 4 Serum Hypertriglyceridemia
C59754|CTCAE Grade 4 Lymphatic Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59282|CTCAE Grade 2 Lymphatic Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59518|CTCAE Grade 3 Lymphatic Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55242|CTCAE Grade 5 Serum Hypertriglyceridemia
C74983|1p36 Deletion Syndrome
C55247|CTCAE Grade 5 Serum Hyperuricemia
C55083|Serum Hypoalbuminemia Adverse Event
C85047|Rhizomelic Chondrodysplasia Punctata
C75478|22q Telomere Deletion Syndrome
C82991|Small Lymphocytic Lymphoma Variant
C5001|Stage II High Grade Burkitt-Like Lymphoma
C8198|Stage I Oral Cavity Verrucous Cancer
C4999|Stage IV High Grade Burkitt-Like Lymphoma
C5002|Stage I High Grade Burkitt-Like Lymphoma
C6816|Low Grade B-Cell Non-Hodgkin's Lymphoma
C4735|Low Grade T-Cell Lymphoma
C66801|Polar Spongioblastoma
C66811|Spongioneuroblastoma
C26959|Reticulosarcoma Involving Spleen
C4125|Superficial Spreading Adenocarcinoma
C3463|Diffuse Mixed Cell Lymphoma
C5869|Stage IVA Oral Cavity Verrucous Cancer
C5870|Stage IVB Oral Cavity Verrucous Cancer
C5871|Stage IVC Oral Cavity Verrucous Cancer
C123110|Pauci-Immune Glomerulonephritis associated with Eosinophilic Granulomatosis with Polyangiitis
C123111|Pauci-Immune Glomerulonephritis associated with Granulomatosis with Polyangiitis
C123112|Pauci-Immune Glomerulonephritis associated with Microscopic Polyangiitis
C120902|Obstructive Nephropathy
C123202|Oligomeganephronia
C123085|Nephrotic Syndrome - INF2 Associated
C123087|Nephrotic Syndrome - ITGA3 Associated
C123088|Nephrotic Syndrome - ITGB4 Associated
C114477|Proximal Tubulopathy
C103228|Perinatal Jaundice Related to Inspissated Bile Syndrome
C99246|Neonatal Jaundice
C34742|Obstructive Jaundice
C26916|Anticipatory Vomiting
C3258|Nausea
C107513|Nausea and Vomiting During the First 24 Hours After Chemotherapy
C86917|Steatorrhea
C118736|Peripheral Visual Field Defect
C118737|Scotoma
C77269|Killip Class I
C77270|Killip Class II
C77271|Killip Class III
C102591|Acute Anterolateral Myocardial Infarction by ECG Finding
C35304|Anteroseptal Myocardial Infarction by ECG Finding
C36073|Apical Myocardial Infarction by ECG Finding
C102592|Acute Anteroseptal Myocardial Infarction by ECG Finding
C102593|Acute High Lateral Myocardial Infarction by ECG Finding
C116135|PR Segment Depression by ECG Finding
C127567|Largest Cross-sectional Thickness
C40560|Exophytic Polypoid Lesion
C102728|Ventricular Parasystole by ECG Finding
C111103|Ventricular Tachycardia by ECG Finding
C40558|Primary Lesion
C62256|Ventricular Premature Complex by ECG Finding
C61054|Cigarette Smoking Toxicity
C61055|Tobacco Chewing Toxicity
C94479|Radiation Necrosis
C123282|Regimen-Limiting Toxicity
C54246|Solar Radiation Toxicity
C123253|Pseudotumor of Kidney
C35443|Post-Streptococcal Glomerulonephritis
C35281|Proliferative Glomerulonephritis
C35264|Rapidly Progressive Glomerulonephritis
C123086|Nephrotic Syndrome - Infection Associated
C123089|Nephrotic Syndrome - LAMB2 Associated
C123032|Pyonephrosis
C123033|Radiation Nephropathy
C123090|Nephrotic Syndrome - LMX1B Associated
C120905|Reflux Nephropathy
C59983|CTCAE Grade 5 Liver Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59986|CTCAE Grade 5 Lung Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59989|CTCAE Grade 5 Lymphatic Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C55920|CTCAE Grade 4 Photophobia
C60165|Liver Infection Adverse Event with Unknown Absolute Neutrophil Count
C60168|Lung Infection Adverse Event with Unknown Absolute Neutrophil Count
C55887|CTCAE Grade 1 Retinal Detachment
C55888|CTCAE Grade 2 Retinal Detachment
C55889|CTCAE Grade 3 Retinal Detachment
C60171|Lymphatic Infection Adverse Event with Unknown Absolute Neutrophil Count
C59984|CTCAE Grade 5 Liver Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59987|CTCAE Grade 5 Lung Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59990|CTCAE Grade 5 Lymphatic Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55891|Retinopathy Adverse Event
C55130|Serum Hypocalcemia Adverse Event
C129021|Chromosome 2q37 Deletion Syndrome
C55084|CTCAE Grade 1 Serum Hypoalbuminemia
C55171|Serum Hypoglycemia Adverse Event
C55085|CTCAE Grade 2 Serum Hypoalbuminemia
C55086|CTCAE Grade 3 Serum Hypoalbuminemia
C75020|Cleidocranial Dysplasia
C126744|Codas Syndrome
C7799|Stage III Cutaneous T-Cell Non-Hodgkin Lymphoma
C43328|Trichoepithelial Carcinoma
C5314|Primary Low Grade B-Cell Dural Lymphoma
C27827|Malignant Lymphoma by Cell Type (Working Formulation)
C5093|Stage III Splenic Marginal Zone Lymphoma
C43329|Trichofollicular Carcinoma
C7871|Adult Diffuse Mixed Cell Lymphoma
C6158|Infiltrating Ureter Urothelial Carcinoma with Mixed Differentiation
C35443|Post-Streptococcal Glomerulonephritis
C35281|Proliferative Glomerulonephritis
C35264|Rapidly Progressive Glomerulonephritis
C123032|Pyonephrosis
C123033|Radiation Nephropathy
C123086|Nephrotic Syndrome - Infection Associated
C123089|Nephrotic Syndrome - LAMB2 Associated
C123090|Nephrotic Syndrome - LMX1B Associated
C120905|Reflux Nephropathy
C122411|Scleral Icterus
C94475|Retching
C3442|Vomiting
C77272|Killip Class IV
C102594|Acute Right Ventricular Myocardial Infarction by ECG Finding
C71069|Anterior Myocardial Infarction by ECG Finding
C36289|Hematopoietic System Finding
C106520|Extensive Anterior Wall Myocardial Infarction by ECG Finding
C80384|Acute ST Elevation Myocardial Infarction by ECG Finding
C102595|Acute Septal Myocardial Infarction by ECG Finding
C88140|Paced Rhythm
C99970|Left Atrium Dimension
C42094|Rare Lesion
C71057|Adenosine-Sensitive Ventricular Tachycardia by ECG Finding
C71062|Bundle Branch Re-Entrant Ventricular Tachycardia by ECG Finding
C99936|Catecholaminergic Polymorphic Ventricular Tachycardia by ECG Finding
C53416|Rarely Metastasizing Lesion
C102604|Blocked Ventricular Premature Complex by ECG Finding
C120611|Frequent Premature Ventricular Complexes by ECG Finding
C107100|Interpolated Premature Ventricular Complex by ECG Finding
C53303|Rubbery Skin Lesion
C27995|Urinary Tract Toxicity
C35801|Subacute Glomerulonephritis
C123093|Nephrotic Syndrome - MYO1E Associated
C123092|Nephrotic Syndrome - MEFV Associated
C123035|Schistosomiasis Nephropathy
C123091|Nephrotic Syndrome - Malaria Associated
C123203|Sickle Cell Nephropathy
C123036|Tubulointerstitial Disease
C60175|Meninges Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60172|Mediastinum Infection NOS Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60178|Middle Ear Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59277|CTCAE Grade 2 Liver Infection with Unknown Absolute Neutrophil Count
C59513|CTCAE Grade 3 Liver Infection with Unknown Absolute Neutrophil Count
C55896|Scleral Necrosis and Melt Adverse Event
C59749|CTCAE Grade 4 Liver Infection with Unknown Absolute Neutrophil Count
C59280|CTCAE Grade 2 Lung Infection with Unknown Absolute Neutrophil Count
C59516|CTCAE Grade 3 Lung Infection with Unknown Absolute Neutrophil Count
C59752|CTCAE Grade 4 Lung Infection with Unknown Absolute Neutrophil Count
C55890|CTCAE Grade 4 Retinal Detachment
C59283|CTCAE Grade 2 Lymphatic Infection with Unknown Absolute Neutrophil Count
C59519|CTCAE Grade 3 Lymphatic Infection with Unknown Absolute Neutrophil Count
C59755|CTCAE Grade 4 Lymphatic Infection with Unknown Absolute Neutrophil Count
C60173|Mediastinum Infection NOS Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60176|Meninges Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60179|Middle Ear Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55892|CTCAE Grade 1 Retinopathy
C55893|CTCAE Grade 2 Retinopathy
C55894|CTCAE Grade 3 Retinopathy
C55131|CTCAE Grade 1 Serum Hypocalcemia
C55133|CTCAE Grade 3 Serum Hypocalcemia
C55132|CTCAE Grade 2 Serum Hypocalcemia
C84643|Coffin-Lowry Syndrome
C55172|CTCAE Grade 1 Serum Hypoglycemia
C55087|CTCAE Grade 5 Serum Hypoalbuminemia
C55173|CTCAE Grade 2 Serum Hypoglycemia
C84644|Cogan-Reese Syndrome
C55174|CTCAE Grade 3 Serum Hypoglycemia
C126558|Combined Lipase Deficiency
C27842|Endometrial Endometrioid Adenocarcinoma with Metaplastic Changes
C7797|Stage II Cutaneous T-Cell Non-Hodgkin Lymphoma
C27821|Malignant Lymphoma, Convoluted
C27258|Malignant Lymphoma, Non-Cleaved Cell Type
C27800|Mycosis Fungoides (Working Formulation)
C27823|Malignant Lymphoma, Large Cell Type
C5092|Stage II Splenic Marginal Zone Lymphoma
C8160|Recurrent Adult Diffuse Mixed Cell Lymphoma
C27840|Endometrial Endometrioid Adenocarcinoma with Papillae
C8134|Stage III Adult Diffuse Mixed Cell Lymphoma
C8121|Stage II Adult Diffuse Mixed Cell Lymphoma
C27841|Endometrial Endometrioid Adenocarcinoma with Small Glands, Tubules or Cords
C35801|Subacute Glomerulonephritis
C123035|Schistosomiasis Nephropathy
C123203|Sickle Cell Nephropathy
C123092|Nephrotic Syndrome - MEFV Associated
C123093|Nephrotic Syndrome - MYO1E Associated
C123091|Nephrotic Syndrome - Malaria Associated
C123036|Tubulointerstitial Disease
C37964|Hematemesis
C113480|Projectile Vomiting
C99976|Left Ventricle Dimension at End-Diastole
C71065|Acute Anterior Myocardial Infarction by ECG Finding
C102643|High Lateral Myocardial Infarction by ECG Finding
C43283|B-Symptoms
C122602|Bone Marrow and Extramedullary Involvement
C122601|Extramedullary Involvement
C35398|Inferior Myocardial Infarction by ECG Finding
C71066|Acute Inferior Myocardial Infarction by ECG Finding
C71067|Acute Lateral Myocardial Infarction by ECG Finding
C92233|Paced Atrial Rhythm
C92232|Paced Atrial And Ventricular Rhythm
C92234|Paced Ventricular Rhythm
C99524|Left Ventricular Ejection Fraction
C41444|Secondary Lesion
C71061|Fascicular Tachycardia by ECG Finding
C71063|Idiopathic Right Bundle Branch Block by ECG Finding
C100036|Idiopathic Primary Ventricular Tachycardia/Ventricular Flutter by ECG Finding
C102725|Unifocal Ventricular Premature Complex by ECG Finding
C96211|Serosal Lesion
C102673|Multifocal Ventricular Premature Complex by ECG Finding
C35935|Sessile Lesion
C115459|Renal Toxicity
C123094|Nephrotic Syndrome - NEIL1 Associated
C4376|Renal Failure
C123095|Nephrotic Syndrome - NPHS2 Associated
C123097|Nephrotic Syndrome - PDSS2 Associated
C59287|CTCAE Grade 2 Meninges Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C122991|Renal Hypertrophy
C59523|CTCAE Grade 3 Meninges Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59759|CTCAE Grade 4 Meninges Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59284|CTCAE Grade 2 Mediastinum Infection NOS Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59520|CTCAE Grade 3 Mediastinum Infection NOS Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59756|CTCAE Grade 4 Mediastinum Infection NOS Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59290|CTCAE Grade 2 Middle Ear Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59526|CTCAE Grade 3 Middle Ear Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59762|CTCAE Grade 4 Middle Ear Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59985|CTCAE Grade 5 Liver Infection with Unknown Absolute Neutrophil Count
C55897|CTCAE Grade 1 Scleral Necrosis and Melt
C55898|CTCAE Grade 2 Scleral Necrosis and Melt
C55899|CTCAE Grade 3 Scleral Necrosis and Melt
C59988|CTCAE Grade 5 Lung Infection with Unknown Absolute Neutrophil Count
C59991|CTCAE Grade 5 Lymphatic Infection with Unknown Absolute Neutrophil Count
C59285|CTCAE Grade 2 Mediastinum Infection NOS with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55901|Uveitis Adverse Event
C59521|CTCAE Grade 3 Mediastinum Infection NOS with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59757|CTCAE Grade 4 Mediastinum Infection NOS with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59288|CTCAE Grade 2 Meninges Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59524|CTCAE Grade 3 Meninges Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59760|CTCAE Grade 4 Meninges Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59291|CTCAE Grade 2 Middle Ear Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59527|CTCAE Grade 3 Middle Ear Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59763|CTCAE Grade 4 Middle Ear Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55895|CTCAE Grade 4 Retinopathy
C55134|CTCAE Grade 4 Serum Hypocalcemia
C55135|CTCAE Grade 5 Serum Hypocalcemia
C121572|Complex Regional Pain Syndrome II
C55175|CTCAE Grade 4 Serum Hypoglycemia
C55176|CTCAE Grade 5 Serum Hypoglycemia
C55214|Serum Hypokalemia Adverse Event
C129303|Congenital Bilateral Aplasia of the Vas Deferens
C115207|Congenital Amegakaryocytic Thrombocytopenia
C4101|Verrucous Papilloma
C7801|Stage IV Cutaneous T-Cell Non-Hodgkin Lymphoma
C27810|Malignant Non-Hodgkin's Lymphoma, Cleaved Cell
C8995|Malignant Lymphoma Follicular, Large Noncleaved Cell Type
C7187|Non-Burkitt's Lymphoma
C27272|Malignant Lymphoma, Large Cell, Cleaved and Non-Cleaved
C27249|Non-Hodgkin's Lymphoma, Lymphoblastic (WF)
C8310|Childhood Large Cell Lymphoma
C5094|Stage IV Splenic Marginal Zone Lymphoma
C27847|Endometrial Endometrioid Adenocarcinoma with Small Nonvillous Papillae
C8147|Stage IV Adult Diffuse Mixed Cell Lymphoma
C8076|Stage I Adult Diffuse Mixed Cell Lymphoma
C8474|Stage II Contiguous Adult Diffuse Mixed Cell Lymphoma
C9199|Stage II Non-Contiguous Adult Diffuse Mixed Cell Lymphoma
C4156|Water-Clear Cell Adenocarcinoma
C4376|Renal Failure
C123095|Nephrotic Syndrome - NPHS2 Associated
C123094|Nephrotic Syndrome - NEIL1 Associated
C123097|Nephrotic Syndrome - PDSS2 Associated
C122991|Renal Hypertrophy
C39723|Immune System Finding
C99977|Left Ventricular Dimension at End-Systole
C71068|Acute Posterior Myocardial Infarction by ECG Finding
C35673|Inferolateral Myocardial Infarction by ECG Finding
C118141|Fetal Circulation with Increased Nucleated Erythrocytes
C38654|Bone Marrow and Blood Involvement
C35529|Lymph Node Involvement
C39593|Peripheral Blood Involvement
C35586|Lateral Myocardial Infarction by ECG Finding
C100061|Paced Ventricular Rhythm without Intrinsic Ventricular Complexes
C50631|Left Ventricular Hypertrophy
C62234|Monomorphic Ventricular Tachycardia by ECG Finding
C39690|Papular Lesion
C71053|Non-Sustained Ventricular Tachycardia by ECG Finding
C62236|Polymorphic Ventricular Tachycardia by ECG Finding
C39623|Skin Patch
C53304|Skin Red Dot
C123098|Nephrotic Syndrome - PLCE1 Associated
C123099|Nephrotic Syndrome - PTPRO Associated
